2, 7801234567, Robert Post, Hinton, 198473
7, 7801236789, Nazanin Tahmasebi,  Saint Albert, 64399
4, 7803214567, Md Toukir Imam, Sherwood Park, 179532
8, 7804321098, Sayem Mohammad Siam, Stony Plain, 57909
1, 7804922860, Osmar Zaiane, Edmonton, 250068
5, 7807890123, Elham Ahmadi, Devon, 129370
9, 7808765432, Amir Hossein Faghih Dinevari, Beaumont, 62552
6, 7808907654, Rong Feng, Spruce Grove, 121726
3, 7809876543, Farrukh Ahmed, Edson, 190211


2, 7, 36512
2, 4, 13775
2, 8, 32167
2, 1, 9397
2, 5, 15858
2, 9, 50248
2, 6, 14408
2, 3, 26108
7, 2, 3913
7, 4, 5683
7, 8, 18935
7, 1, 2390
7, 5, 2836
7, 9, 18284
7, 6, 8293
7, 3, 4065
4, 2, 7843
4, 7, 27168
4, 8, 27674
4, 1, 4990
4, 5, 35985
4, 9, 45213
4, 6, 21339
4, 3, 9320
8, 2, 2019
8, 7, 8358
8, 4, 5834
8, 1, 11263
8, 5, 6457
8, 9, 13573
8, 6, 8418
8, 3, 1987
1, 2, 24894
1, 7, 42977
1, 4, 27381
1, 8, 31261
1, 5, 29842
1, 9, 63866
1, 6, 14451
1, 3, 15396
5, 2, 8428
5, 7, 19119
5, 4, 15131
5, 8, 16692
5, 1, 7568
5, 9, 31026
5, 6, 25759
5, 3, 5647
9, 2, 17538
9, 7, 8375
9, 4, 6106
9, 8, 9267
9, 1, 3465
9, 5, 5513
9, 6, 5954
9, 3, 6334
6, 2, 7575
6, 7, 38514
6, 4, 6545
6, 8, 14126
6, 1, 4910
6, 5, 15665
6, 9, 30850
6, 3, 3541
3, 2, 9506
3, 7, 28448
3, 4, 28737
3, 8, 29143
3, 1, 10221
3, 5, 17458
3, 9, 40098
3, 6, 26600
